id,tweet,défigement_identifié_final,expression_reconnue_finale,défigement_identifiéA1,expression_reconnueA1,remarquesA1,défigement_identifiéA2,expression_reconnueA2,remarquesA2,défigement_identifiéA3,expression_reconnueA3,remarquesA3
1344011605768613888',@beatrix160851 Ça coule pourtant de source pas pour @olivierveran,non,oui,non,oui,variante,x,X,"insertion, vrai défigement ?",non,non, 
1356735387062968320',Ça coule pas de source pour tout le monde? https://t.co/GOPJv8vp3K,non,oui,non,oui,variante, ,X, ,non,non, 
1442035996560969729',"@sakoyko Mais ouiiii, ca coule d'eau de source mdr",oui,oui,non,oui,variante,X,X, ,non,non, 
1444989414946525187',@BlackyFeatRdk Ça coule d'eau de source,non,non,non,oui,variante,X,X, ,oui,oui, 
1475717762202968065',@Bakotooo Ça coule tellement de source que je ne l’ai pas précisé.,non,oui,non,oui,variante,x,X,"insertion, vrai défigement ?",non,non,pas un défigement AMHA
1325136457791643648',@luciebcz @paulinedhb Ça coule de source Lucie enfin 👀,non,oui,non,oui, , ,X,pas de SD,non,non, 
1328134942589640705',@penlo Ça coule de source hehe,non,oui,non,oui, , ,X,pas de SD,non,non, 
1330173476439793679',@Vixen_Stag_ Oui ça coule de source 😜🔥😈😈😈💋,non,oui,non,oui, , ,X,pas de SD,non,non, 
1335627857712865287',@hugochimaru1 ça coule de source après donc bon,non,oui,non,oui, , ,X,pas de SD,non,non, 
1334572960120786945',@meelvin94 Çà coule de source,non,oui,non,oui, , , , ,non,non, 
