id,'1502625275892359169
tweet,@TPMP Jean tu pousses le bouchon un peu trop loin et T es pas Maurice
seed,"tu pousses le bouchon un peu trop loin, Maurice"
@TPMP,
Jean,
tu,X
pousses,X
le,X
bouchon,X
un,X
peu,X
trop,X
loin,X
et,I
T,I
es,I
pas,I
Maurice,X
,
id,'1456383662988087300
tweet,@Anti_C_O_N_S Tu pousses le bouchon un peu trop loin Farid pour ne pas t'appeler Maurice 😁😁😁grrrrrr
seed,"tu pousses le bouchon un peu trop loin, Maurice"
@Anti_C_O_N_S,
Tu,X
pousses,X
le,X
bouchon,X
un,X
peu,X
trop,X
loin,X
Farid,S:Maurice
pour,I
ne,I
pas,I
t,I
appeler,I
Maurice,I
😁😁😁grrrrrr,
,
id,'1567052795752185857
tweet,@paolomanzi1947 Hé Maurice macron tu pousses le bouchon un peu trop loin tout va te péter à la G.... (en 6 lettres) Achtung achtung ...  Pour que cette folie s'arrête je sais ce qu'il faut faire mais j'vous l'dirai pas ou du moins pas tout suite ! Tout arrive à celui qui sait attendre ...
seed,"tu pousses le bouchon un peu trop loin, Maurice"
@paolomanzi1947,
Hé,
Maurice,X
macron,I
tu,X
pousses,X
le,X
bouchon,X
un,X
peu,X
trop,X
loin,X
tout,
va,
te,
péter,
à,
la,
G,
....,
(,
en,
6,
lettres,
),
Achtung,
achtung,
...,
Pour,
que,
cette,
folie,
s,
arrête,
je,
sais,
ce,
qu,
il,
faut,
faire,
mais,
j,
vous,
l,
dirai,
pas,
ou,
du,
moins,
pas,
tout,
suite,
!,
Tout,
arrive,
à,
celui,
qui,
sait,
attendre,
...,
,
id,'1378999786565730309
tweet,"@OlivierFP4 Président momo ""Maurice"" tu pousses le bouchon un peu trop loin et Il n'y a pas de musulmans modérés."
seed,"tu pousses le bouchon un peu trop loin, Maurice"
@OlivierFP4,
Président,I
momo,I
"""",I
Maurice,X
"""",I
tu,X
pousses,X
le,X
bouchon,X
un,X
peu,X
trop,X
loin,X
et,
Il,
n,
y,
a,
pas,
de,
musulmans,
modérés,
.,
,
id,'1497343207084019713
tweet,"@DominiqueReynie @Horizons069 @FrancoisFillon La France et les Français ne souhaitaient plus de Fillon sur son territoire, il s'est expatrié pour vivre et travailler dans un pays d'accueil (pas le meilleur certes).La France veut le beurre,l'argent du beurre et le cul de la crémière.Fermez-la,au lieu de vomir votre haine😡"
seed,Le beurre et l'argent du beurre
@DominiqueReynie,
@Horizons069,
@FrancoisFillon,
La,
France,
et,
les,
Français,
ne,
souhaitaient,
plus,
de,
Fillon,
sur,
son,
territoire,
",",
il,
s,
est,
expatrié,
pour,
vivre,
et,
travailler,
dans,
un,
pays,
d,
accueil,
(,
pas,
le,
meilleur,
certes,
),
.,
La,
France,
veut,
le,X
beurre,X
",",X
l,X
argent,X
du,X
beurre,X
et,X
le,X
cul,X
de,X
la,X
crémière,X
.,
Fermez-la,
",",
au,
lieu,
de,
vomir,
votre,
haine😡,
,
id,'1534495150772215808
tweet,@LaetiFenua @GG_RMC @Elisabeth_Borne @soubremarieanne La plupart des categorie 2 peuvent travailler....poste amenagés....vous voulez le beurre ...l'argent du beurre et en plus la cremiere qui va avec!
seed,Le beurre et l'argent du beurre
@LaetiFenua,
@GG_RMC,
@Elisabeth_Borne,
@soubremarieanne,
La,
plupart,
des,
categorie,
2,
peuvent,
travailler,
....,
poste,
amenagés,
....,
vous,
voulez,
le,X
beurre,X
...,
l,X
argent,X
du,X
beurre,X
et,X
en,I
plus,I
la,X
cremiere,X
qui,I
va,I
avec,I
!,
,
id,'1467663620440047622
tweet,@g59586104 @ppwonderlust @Qofficiel Mais bon faire autrement ce serait discriminatoire... . Le patriarcat... C'est fini ou pas ? A un moment faut prendre position !  Le beurre l'argent du beurre et les glawis du crémier... Ca va 5mn!
seed,Le beurre et l'argent du beurre
@g59586104,
@ppwonderlust,
@Qofficiel,
Mais,
bon,
faire,
autrement,
ce,
serait,
discriminatoire,
...,
.,
Le,
patriarcat,
...,
C,
est,
fini,
ou,
pas,
?,
A,
un,
moment,
faut,
prendre,
position,
!,
Le,X
beurre,X
l,X
argent,X
du,X
beurre,X
et,X
les,MS:le
glawis,S:cul
du,S:de la
crémier,MS:crémière
...,
Ca,
va,
5mn,
!,
,
id,'1605902439705518081
